	SMILES
0	[CH3][C](=[O])[CH]1[CH2][CH]2[O][CH]2[CH2]1
1	[O]=[C]1[CH2][CH]2[CH2][CH]([OH])[CH2][CH]12
2	[O]=[C]1[CH2][C@@H]2[CH2][C@H]([OH])[CH2][C@H]12
3	[O]=[C]1[CH2][C@H]2[CH2][C@@H]([OH])[CH2][C@@H]12
4	[CH3][CH2][O][c]1[cH][cH][o][c]1[CH3]
5	[CH3][C](=[O])[C]1([CH2][CH]=[O])[CH2][CH2]1
6	[CH3][O][CH]1[CH]=[C]([CH]=[O])[CH2][CH2]1
7	[O]=[C]([CH]1[CH2][CH2][CH2]1)[CH]1[CH2][O]1
8	[CH3][CH2][CH]1[CH2][CH2][C](=[O])[C]1=[O]
9	[CH3][CH2][C@H]1[CH2][CH2][C](=[O])[C]1=[O]
10	[CH3][C]12[CH2][CH2][CH]([CH2]1)[C](=[O])[O]2
11	[O]=[CH][CH]1[CH2][CH2][CH2][CH]1[CH]=[O]
12	[O]=[CH][C@H]1[CH2][CH2][CH2][C@@H]1[CH]=[O]
13	[CH3][C]12[CH2][CH]3[O][CH]3[CH2][CH]1[O]2
14	[CH3][CH]1[CH]=[CH][C](=[O])[CH]([OH])[CH2]1
15	[CH3][CH]1[CH2][CH]([CH3])[C](=[O])[C]1=[O]
16	[CH3][C@@H]1[CH2][C@H]([CH3])[C](=[O])[C]1=[O]
17	[CH3][C@@H]1[CH2][C@@H]([CH3])[C](=[O])[C]1=[O]
18	[CH3][C@H]1[CH2][C@H]([CH3])[C](=[O])[C]1=[O]
19	[O]=[C]1[CH2]/[CH]=[CH]\[CH2][CH2][CH2][O]1
20	[CH3][C](=[O])[CH2][C]1([CH]=[O])[CH2][CH2]1
21	[CH]1=[CH][CH]2[CH2][CH2][O][CH]([CH2]1)[O]2
22	[CH3][C]12[CH2][C]([CH3])([CH2]1)[C](=[O])[O]2
23	[CH3][O][CH2][CH]1[CH2][CH]=[CH][C]1=[O]
24	[CH3][C]12[O][CH]1[CH2][CH2][CH2][C]2=[O]
25	[CH3][C@]12[O][C@H]1[CH2][CH2][CH2][C]2=[O]
26	[CH3][C@@]12[O][C@@H]1[CH2][CH2][CH2][C]2=[O]
27	[CH3][O][CH]1[CH]=[CH][C](=[O])[CH]1[CH3]
28	[CH3][CH2][CH2][C]1=[CH][C](=[O])[O][CH2]1
29	[CH3][C]12[CH2][CH2][C](=[O])[CH2][CH]1[O]2
30	[CH3][C@]12[CH2][CH2][C](=[O])[CH2][C@H]1[O]2
31	[O]=[CH][CH2][C](=[O])[CH2][CH]1[CH2][CH2]1
32	[CH3][CH2][C@@]1([OH])[CH]=[CH][CH2][C]1=[O]
33	[CH3][CH2][c]1[o][c]([CH3])[cH][c]1[OH]
34	[O]=[C]1[CH2][CH2][CH2][O][C]12[CH2][CH2]2
35	[O]=[C]1[CH2][CH2][C]2([CH2][O][CH2]2)[CH2]1
36	[CH3][C]1([CH]=[O])[CH2][CH2][CH2][C]1=[O]
37	[CH3][C@@]1([CH]=[O])[CH2][CH2][CH2][C]1=[O]
38	[CH3][C@]1([CH]=[O])[CH2][CH2][CH2][C]1=[O]
39	[CH3][C]1([CH3])[O][CH2][CH]=[CH][C]1=[O]
40	[O]=[C]1[CH2][CH]2[CH2][CH2][CH]([CH2]2)[O]1
41	[O]=[C]1[CH2][C@H]2[CH2][CH2][C@H]([CH2]2)[O]1
42	[O]=[C]1[CH2][C@@H]2[CH2][CH2][C@@H]([CH2]2)[O]1
43	[O]=[C]1[CH2][C@H]2[CH2][CH2][C@@H]([CH2]2)[O]1
44	[OH][CH]1[CH2][CH]2[CH2][CH]1[CH]1[O][CH]21
45	[OH][C@@H]1[CH2][C@@H]2[CH2][C@H]1[C@H]1[O][C@@H]21
46	[OH][C@H]1[CH2][C@H]2[CH2][C@@H]1[C@@H]1[O][C@H]21
47	[OH][C@H]1[CH2][C@@H]2[CH2][C@H]1[CH]1[O][CH]12
48	[OH][C@H]1[CH2][C@@H]2[CH2][C@H]1[C@H]1[O][C@@H]21
49	[OH][C@H]1[CH2][C@@H]2[CH2][C@H]1[C@@H]1[O][C@H]21
50	[OH][CH]1[CH2][CH]2[CH2][C@H]1[CH]1[O][CH]21
51	[CH3][C]1=[CH][C](=[O])[CH2][CH]1[CH2][OH]
52	[CH3][C]1=[CH][C](=[O])[CH2][C@H]1[CH2][OH]
53	[O]=[CH][CH]1[CH2][CH]2[CH2][O][CH2][CH]12
54	[O]=[C]1[CH2][O][CH]([CH]2[CH2][CH2]2)[CH2]1
55	[O]=[C]1[CH2][O][C@@H]([CH]2[CH2][CH2]2)[CH2]1
56	[O]=[C]1[CH2][O][C@H]([CH]2[CH2][CH2]2)[CH2]1
57	[CH3][CH]1[CH]=[CH][CH2][CH2][C](=[O])[O]1
58	[CH3][CH]([CH2][OH])[c]1[cH][cH][o][cH]1
59	[CH3][C@@H]([CH2][OH])[c]1[cH][cH][o][cH]1
60	[CH3][C](=[O])[O][C]12[CH2][CH]([CH2]1)[CH2]2
61	[CH3][C]12[CH2][C](=[O])[CH2][C]1([CH3])[O]2
62	[CH3][C@H]1[C](=[O])[CH2][CH2][C@@H]2[O][C@@H]21
63	[CH3][C@@H]1[C](=[O])[CH2][CH2][C@H]2[O][C@@H]12
64	[CH3][CH]1[CH2][C](=[O])[CH]=[CH][CH]1[OH]
65	[CH3][C@@H]1[CH2][C](=[O])[CH]=[CH][C@H]1[OH]
66	[CH3][C@@H]1[CH2][C](=[O])[CH]=[CH][C@@H]1[OH]
67	[CH3][CH]1[CH2][C](=[O])[CH]=[CH][C@H]1[OH]
68	[CH3][CH]([OH])[CH2][c]1[cH][cH][cH][o]1
69	[CH3][C@@H]([OH])[CH2][c]1[cH][cH][cH][o]1
70	[CH3][C@H]([OH])[CH2][c]1[cH][cH][cH][o]1
71	[CH3][C]1=[CH][C](=[O])[O][CH]([CH3])[CH2]1
72	[CH3][C]1=[CH][C](=[O])[O][C@@H]([CH3])[CH2]1
73	[CH3][C]1=[CH][C](=[O])[O][C@H]([CH3])[CH2]1
74	[O]=[C]1[CH2][CH2][CH]2[CH2][C]12[CH2][OH]
75	[O]=[C]1[CH2][CH2][C@H]2[CH2][C@@]12[CH2][OH]
76	[O]=[C]1[CH2][CH2]/[CH]=[CH]\[CH2][CH2][O]1
77	[O]=[C]1[CH2][CH2]/[CH]=[CH]/[CH2][CH2][O]1
78	[CH3][CH2][C]12[CH2][CH]1[CH2][O][C]2=[O]
79	[CH]1=[CH][CH]2[CH2][CH]([CH2]1)[O][CH2][O]2
80	[CH3][C]1=[CH][C@@H]2[O][C@H]1[CH2][C@@H]2[OH]
81	[CH3][C]1=[CH][C@H]2[O][C@@H]1[CH2][C@H]2[OH]
82	[CH3][CH]1[CH2][CH]2[CH]([OH])[CH]2[C]1=[O]
83	[O]=[CH][C]1=[CH][CH2][CH2][CH2][CH]1[OH]
84	[O]=[CH][C]1=[CH][CH2][CH2][CH2][C@@H]1[OH]
85	[O]=[CH][C]1=[CH][CH2][CH2][CH2][C@H]1[OH]
86	[CH3][CH2][c]1[cH][c]([OH])[c]([CH3])[o]1
87	[CH3][C]12[CH2][CH2][CH]([CH2]1)[O][C]2=[O]
88	[O]=[C]1[CH2][CH2][O][CH2][C]12[CH2][CH2]2
89	[CH3][O][CH2][c]1[cH][o][cH][c]1[CH3]
90	[CH3][C]1=[C]([CH3])[CH]([OH])[CH2][C]1=[O]
91	[CH3][C]1=[C]([CH3])[C@@H]([OH])[CH2][C]1=[O]
92	[CH3][C]1=[C]([CH3])[C@H]([OH])[CH2][C]1=[O]
93	[CH3][c]1[cH][cH][o][c]1[CH2][CH2][OH]
94	[CH3][C]1([CH3])[O][C]2([CH2][CH2]2)[C]1=[O]
95	[CH3][CH2][c]1[cH][o][cH][c]1[O][CH3]
96	[OH][C@@H]1[C@H]2[CH2][C@H]3[CH2][C@@H]1[O][C@H]32
97	[CH3][CH2][CH2][CH]1[CH]=[CH][C](=[O])[O]1
98	[CH3][CH2][CH2][C@@H]1[CH]=[CH][C](=[O])[O]1
99	[CH3][CH2][CH2][C@H]1[CH]=[CH][C](=[O])[O]1
100	[O]=[C]1[CH2][CH]([CH]2[CH2][CH2]2)[CH2][O]1
101	[CH3][O][C](=[O])[CH]1[CH]2[CH2][CH]1[CH2]2
102	[CH]1=[CH][C@@H]2[O][CH2][CH2][C@@H]2[O][CH2]1
103	[CH3][C]12[CH2][O][CH]([CH2]1)[C](=[O])[CH2]2
104	[CH3][C](=[O])[C]1([CH]=[O])[CH2][CH2][CH2]1
105	[CH3][CH]1[C](=[O])[CH2][C](=[O])[CH]1[CH3]
106	[O]=[C]1[CH2][CH]2[CH2][CH2][CH]1[CH]2[OH]
107	[O]=[C]1[CH2][C@@H]2[CH2][CH2][C@H]1[C@H]2[OH]
108	[O]=[C]1[CH2][C@@H]2[CH2][CH2][C@H]1[C@@H]2[OH]
109	[OH][CH]1[CH]=[CH][C@H]2[CH2][CH2][C@@H]1[O]2
110	[CH3][CH]1[CH2][CH2][CH2][C](=[O])[C]1=[O]
111	[CH3][C@H]1[CH2][CH2][CH2][C](=[O])[C]1=[O]
112	[CH3][C@@H]1[CH2][CH2][CH2][C](=[O])[C]1=[O]
113	[O]=[C]1[CH]=[CH][CH2][CH]([CH2][OH])[CH2]1
114	[O]=[C]1[CH]=[CH][CH2][C@@H]([CH2][OH])[CH2]1
115	[O]=[C]1[CH]=[CH][CH2][C@H]([CH2][OH])[CH2]1
116	[OH][CH2][C]12[CH2][CH]=[CH][CH2][CH]1[O]2
117	[CH3][C]1=[C]([CH3])[C](=[O])[O][CH2][CH2]1
118	[CH3][C]1=[C]([CH3])[CH2][C](=[O])[O][CH2]1
119	[O]=[C]1[O][CH2][CH]2[CH2][CH2][CH2][CH]12
120	[O]=[C]1[O][CH2][C@@H]2[CH2][CH2][CH2][C@H]12
121	[O]=[C]1[O][CH2][C@H]2[CH2][CH2][CH2][C@@H]12
122	[O]=[C]1[O][CH2][C@H]2[CH2][CH2][CH2][CH]12
123	[O]=[C]1[O][CH2][C@@H]2[CH2][CH2][CH2][C@@H]12
124	[O]=[C]1[O][CH2][C@H]2[CH2][CH2][CH2][C@H]12
125	[CH3][C]1=[CH][CH]([CH2][OH])[CH2][C]1=[O]
126	[CH3][CH2][CH]1[C@H]2[O][C](=[O])[CH2][C@@H]12
127	[CH3][CH2][CH]1[CH2][C](=[O])[CH2][C]1=[O]
128	[O]=[CH][CH2][CH]1[CH]2[CH2][O][CH2][CH]12
129	[CH3][C](=[O])[C]12[CH2][C]([OH])([CH2]1)[CH2]2
130	[CH3][c]1[cH][c]([CH2][OH])[o][c]1[CH3]
131	[CH3][C]12[CH2][CH2][C](=[O])[C]1([CH3])[O]2
132	[CH3][CH]([OH])[C]1=[CH][CH2][CH2][C]1=[O]
133	[CH3][C]1=[CH][C@@H]([OH])[C@H]2[O][C@H]2[CH2]1
134	[CH3][C]1=[CH][C@H]([OH])[CH]2[O][CH]2[CH2]1
135	[CH3][CH]1[CH2][CH]=[CH][CH2][C](=[O])[O]1
136	[CH3][CH2][O][CH]1[CH]=[CH][CH2][C]1=[O]
137	[O]=[CH][O][CH2][C]1=[CH][CH2][CH2][CH2]1
138	[CH3][C]1=[CH][C](=[O])[CH2][C]1([CH3])[OH]
139	[CH3][C]1=[CH][C](=[O])[CH2][C@@]1([CH3])[OH]
140	[CH3][C]1=[CH][C](=[O])[CH2][C@]1([CH3])[OH]
141	[O]=[C]1[CH]2[CH2][CH2][CH]([CH2]2)[CH]1[OH]
142	[O]=[C]1[C@@H]2[CH2][CH2][C@@H]([CH2]2)[C@H]1[OH]
143	[O]=[C]1[C@@H]2[CH2][CH2][C@H]([CH2]2)[C@@H]1[OH]
144	[O]=[C]1[C@H]2[CH2][CH2][C@@H]([CH2]2)[C@H]1[OH]
145	[O]=[C]1[C@H]2[CH2][CH2][CH]([CH2]2)[C@@H]1[OH]
146	[O]=[C]1[CH]2[CH2][CH2][C@@H]([CH2]2)[C@H]1[OH]
147	[CH3][O][C]12[CH]=[CH][CH]([CH2][CH2]1)[O]2
148	[CH3][C@]1([OH])[CH2][C@H]2[CH]=[CH][C@@H]1[O]2
149	[O]=[CH][CH2][CH]1[CH]=[CH][CH2][CH]1[OH]
150	[O]=[CH][CH2][C@@H]1[CH]=[CH][CH2][C@@H]1[OH]
151	[O]=[CH][CH2][C@H]1[CH]=[CH][CH2][C@H]1[OH]
152	[O]=[CH][C]1([OH])[CH2][CH]=[CH][CH2][CH2]1
153	[CH3][CH]([CH3])[C]1=[CH][CH2][O][C]1=[O]
154	[CH3][C](=[O])[C](=[O])[CH]1[CH2][CH2][CH2]1
155	[CH3][CH2][C@]12[CH2][CH2][C](=[O])[C@H]1[O]2
156	[O]=[C]1[CH2][CH2][CH2][C](=[O])[CH2][CH2]1
157	[O]=[CH][CH]1[CH]=[CH][CH2][CH2][C@@H]1[OH]
158	[O]=[C]1[CH2][C]2([CH2][CH2][O]1)[CH2][CH2]2
159	[O]=[CH][CH2][C](=[O])[CH]1[CH2][CH2][CH2]1
160	[O]=[CH][O][C@H]1[CH2][CH]2[CH2][CH]1[CH2]2
161	[OH][CH]1[CH2][CH]2[CH]=[CH][CH]([CH2]1)[O]2
162	[OH][CH]1[CH2][C@H]2[CH]=[CH][C@@H]([CH2]1)[O]2
163	[OH][CH]1[CH2][C@H]2[CH]=[CH][C@H]([CH2]1)[O]2
164	[CH3][C@@H]1[CH2][CH2][C@H]2[O][C](=[O])[C@@H]12
165	[O]=[C]1[CH2][CH]2[CH2][CH]([OH])[CH]1[CH2]2
166	[O]=[C]1[CH2][C@H]2[CH2][CH]([OH])[C@@H]1[CH2]2
167	[O]=[C]1[CH2][C@@H]2[CH2][C@@H]([OH])[C@H]1[CH2]2
168	[O]=[C]1[CH2][C@@H]2[CH2][C@H]1[C@@H]([OH])[CH2]2
169	[O]=[C]1[CH2][C@H]2[CH2][C@H]([OH])[C@H]1[CH2]2
170	[CH3][CH2][c]1[cH][c]([O][CH3])[cH][o]1
171	[O]=[C]1[CH2][CH2][CH]([OH])[C]12[CH2][CH2]2
172	[O]=[C]1[CH2][CH2][C@H]([OH])[C]12[CH2][CH2]2
173	[CH3][CH2][O][c]1[cH][c]([CH3])[cH][o]1
174	[O]=[C]1[CH2][O][CH]2[CH2][CH2][CH]1[CH2]2
175	[O]=[C]1[CH2][C]2([CH2]1)[CH2][CH]([OH])[CH2]2
176	[O]=[C]1[CH2][CH2][CH]2[CH2][O][CH2][CH]12
177	[O]=[C]1[CH2][CH2][C@H]2[CH2][O][CH2][C@@H]12
178	[OH][CH2][C]1=[CH][CH]2[O][CH]2[CH2][CH2]1
179	[O]=[C]1[CH2][CH]2[CH2][CH2][CH2][O][CH]12
180	[CH3][c]1[cH][o][c]([CH3])[c]1[CH2][OH]
181	[O]=[C]1[CH2][CH2][CH2][CH]2[O][CH]2[CH2]1
182	[CH3][c]1[cH][cH][c]([CH2][CH2][OH])[o]1
183	[OH][CH2][C]1=[CH][CH2][CH]2[O][CH]2[CH2]1
184	[O]=[CH][CH]1[CH]=[CH][CH2][CH]([OH])[CH2]1
185	[CH3][CH2][c]1[o][cH][cH][c]1[O][CH3]
186	[CH3][CH2][C]12[O][CH]1[CH2][CH2][C]2=[O]
187	[CH3][C]1([CH3])[CH2][CH]1[C](=[O])[CH]=[O]
188	[O]=[C]1[CH2][CH2][CH2][C]2([CH2][O]2)[CH2]1
189	[CH3][CH]1[C](=[O])[CH]=[CH][CH2][CH]1[OH]
190	[CH3][C@@H]1[C](=[O])[CH]=[CH][CH2][C@@H]1[OH]
191	[OH][CH2][C]1=[CH][CH]2[CH2][CH2][CH]1[O]2
192	[O]=[CH][CH]1[CH2][CH]=[CH][CH2][CH]1[OH]
193	[O]=[CH][C@H]1[CH2][CH]=[CH][CH2][C@H]1[OH]
194	[CH3][CH]1[C](=[O])[CH]2[CH2][CH2][CH]1[O]2
195	[CH3][C@H]1[C](=[O])[C@@H]2[CH2][CH2][C@H]1[O]2
196	[O]=[C]1[CH2][CH2][C]2([CH2][CH2]2)[CH2][O]1
197	[O]=[C]1[CH]=[CH][CH2][CH2][CH2][CH2][O]1
198	[O]=[C]1/[CH]=[CH]\[CH2][CH2][CH2][CH2][O]1
199	[CH3][CH2][O][c]1[o][cH][cH][c]1[CH3]
200	[CH3][C](=[O])[O][CH]1[CH]2[CH2][CH]1[CH2]2
201	[CH3][C](=[O])[CH]1[CH2][CH]=[CH][CH2][O]1
202	[CH3][C](=[O])[C@@H]1[CH2][CH]=[CH][CH2][O]1
203	[CH3][C]1=[CH][CH]([OH])[CH2][CH2][C]1=[O]
204	[CH3][C]1=[CH][C@H]([OH])[CH2][CH2][C]1=[O]
205	[CH3][C]1=[CH][C@@H]([OH])[CH2][CH2][C]1=[O]
206	[CH3][CH2][C]1=[CH][CH2][CH2][O][C]1=[O]
207	[O]=[CH][CH]1[CH]=[CH][CH]([OH])[CH2][CH2]1
208	[CH3][C](=[O])[CH]1[CH]2[CH2][O][CH2][CH]21
209	[CH3][C](=[O])[CH]1[C@H]2[CH2][O][CH2][C@@H]12
210	[CH3][C](=[O])[CH]1[CH]2[CH2][O][CH2][C@@H]21
211	[CH3][CH]1[CH]=[CH][C](=[O])[CH]([CH3])[O]1
212	[CH3][C@@H]1[CH]=[CH][C](=[O])[C@H]([CH3])[O]1
213	[CH3][C@@H]1[O][C@@H]([CH3])[CH]=[CH][C]1=[O]
214	[CH3][C@@H]1[CH]=[CH][C](=[O])[C@@H]([CH3])[O]1
215	[CH3][CH]1[CH]=[CH][C](=[O])[C@H]([CH3])[O]1
216	[CH3][C]1=[CH][CH2][C]([CH3])([OH])[C]1=[O]
217	[CH2]1[CH2][CH]2[O][C]2([CH]2[CH2][O]2)[CH2]1
218	[CH3][CH]1[CH2][CH2][C](=[O])[CH2][C]1=[O]
219	[CH3][C@@H]1[CH2][CH2][C](=[O])[CH2][C]1=[O]
220	[CH3][C@H]1[CH2][CH2][C](=[O])[CH2][C]1=[O]
221	[O]=[C]1[CH2][CH2][C]12[CH2][CH2][CH2][O]2
222	[O]=[C]1[CH2][CH2][C@]12[CH2][CH2][CH2][O]2
223	[CH3][C]12[CH2][C]([O][CH]=[O])([CH2]1)[CH2]2
224	[OH][CH2][C]12[CH2][CH]3[CH2][CH]1[CH]2[O]3
225	[CH3][CH]([CH2][OH])[c]1[cH][cH][cH][o]1
226	[CH3][C@@H]([CH2][OH])[c]1[cH][cH][cH][o]1
227	[CH3][C@H]([CH2][OH])[c]1[cH][cH][cH][o]1
228	[CH3][CH2][O][CH]1[CH]=[CH][C](=[O])[CH2]1
229	[O]=[C]1[CH2][CH2][O][C]12[CH2][CH2][CH2]2
230	[CH3][C](=[O])[CH2][C](=[O])[CH]1[CH2][CH2]1
231	[O]=[CH][CH2][CH]1[CH2][CH2][CH2][C]1=[O]
232	[CH3][C](=[O])[C]1=[CH][CH]([OH])[CH2][CH2]1
233	[CH3][C](=[O])[CH]1[CH2][CH]1[C]([CH3])=[O]
234	[CH3][C](=[O])[C@H]1[CH2][C@H]1[C]([CH3])=[O]
235	[CH3][C](=[O])[C@H]1[CH2][C@@H]1[C]([CH3])=[O]
236	[CH3][C](=[O])[C@@H]1[CH2][C@H]1[C]([CH3])=[O]
237	[CH3][C](=[O])[CH]1[CH2][C@H]1[C]([CH3])=[O]
238	[O]=[C]1[CH2][CH2][CH]2[CH2][CH2][CH]1[O]2
239	[O]=[C]1[CH2][CH2][C@H]2[CH2][CH2][C@@H]1[O]2
240	[O]=[C]1[CH2][CH2][C@H]2[CH2][CH2][C@H]1[O]2
241	[CH3][C]1=[CH][CH2][CH2][CH2][O][C]1=[O]
242	[CH3][C]1([CH3])[O][CH]2[CH2][CH]2[C]1=[O]
243	[CH3][C]1([CH3])[O][C@H]2[CH2][C@H]2[C]1=[O]
244	[CH3][CH]([OH])[CH2][c]1[cH][cH][o][cH]1
245	[CH3][C@H]([OH])[CH2][c]1[cH][cH][o][cH]1
246	[CH3][C@@H]([OH])[CH2][c]1[cH][cH][o][cH]1
247	[O]=[CH][CH]([OH])[C]1=[CH][CH2][CH2][CH2]1
248	[CH3][CH]1[CH2][CH2][CH]([CH]=[O])[C]1=[O]
249	[CH3][C](=[O])[CH]1[CH2][CH]([CH]=[O])[CH2]1
250	[CH3][CH]1[CH2][CH]=[CH][CH2][O][C]1=[O]
251	[O]=[C]1[CH2][CH]2[CH2][CH]1[CH2][CH]2[OH]
252	[O]=[C]1[CH2][C@H]2[CH2][C@@H]1[CH2][C@@H]2[OH]
253	[O]=[C]1[CH2][C@@H]2[CH2][C@H]1[CH2][C@@H]2[OH]
254	[O]=[C]1[CH2][C@@H]2[CH2][C@H]1[CH2][C@H]2[OH]
255	[O]=[C]1[CH2][C@H]2[CH2][C@@H]1[CH2][C@H]2[OH]
256	[CH3][C](=[O])[O][CH]1[CH]=[CH][CH2][CH2]1
257	[CH3][C](=[O])[O][C@H]1[CH]=[CH][CH2][CH2]1
258	[CH3][C](=[O])[O][C@@H]1[CH]=[CH][CH2][CH2]1
259	[CH3][CH]1[C](=[O])[CH2][CH2][CH]1[CH]=[O]
260	[CH3][C@@H]1[C](=[O])[CH2][CH2][C@H]1[CH]=[O]
261	[CH3][C@H]1[C](=[O])[CH2][CH2][C@@H]1[CH]=[O]
262	[CH3][C@H]1[C](=[O])[CH2][CH2][C@H]1[CH]=[O]
263	[CH3][C@@H]1[C](=[O])[CH2][CH2][C@@H]1[CH]=[O]
264	[CH3][CH2][CH2][C]1=[CH][CH2][O][C]1=[O]
265	[CH3][C]1([OH])[CH2][CH]=[CH][C](=[O])[CH2]1
266	[CH3][C]12[CH2][CH2][CH]([O]1)[C](=[O])[CH2]2
267	[CH3][C@@]12[CH2][CH2][C@@H]([O]1)[C](=[O])[CH2]2
268	[CH3][CH2][c]1[cH][c]([CH2][OH])[cH][o]1
269	[O]=[CH][CH]1[CH2][CH2][CH]=[CH][CH]1[OH]
270	[O]=[C]1[CH2][C@H]2[CH2][C@@H]1[C@@H]2[CH2][OH]
271	[CH3][C]1([CH3])[CH2][C](=[O])[CH2][C]1=[O]
272	[O]=[CH][CH]([CH]=[O])[CH]1[CH2][CH2][CH2]1
273	[CH3][CH]1[CH2][C](=[O])[C](=[O])[CH]1[CH3]
274	[CH3][C@H]1[CH2][C](=[O])[C](=[O])[C@@H]1[CH3]
275	[CH3][C@@H]1[CH2][C](=[O])[C](=[O])[C@@H]1[CH3]
276	[CH3][C@@H]1[C](=[O])[C](=[O])[CH2][C@@H]1[CH3]
277	[CH3][C@@H]1[CH2][C](=[O])[C](=[O])[C@H]1[CH3]
278	[O]=[C]1[CH2][CH2][CH]2[O][CH2][CH2][CH]12
279	[O]=[C]1[CH2][CH]2[O][CH2][CH2][CH2][CH]12
280	[O]=[C]1[CH2][C@H]2[O][CH2][CH2][CH2][C@@H]12
281	[O]=[C]1[CH2][C@H]2[O][CH2][CH2][CH2][C@H]12
282	[O]=[C]1[CH2][C@@H]2[O][CH2][CH2][CH2][C@@H]12
283	[O]=[C]1[CH2][C@@H]2[O][CH2][CH2][CH2][C@H]12
284	[O]=[CH][CH]1[CH2][CH2][C]2([CH2][CH2]2)[O]1
285	[O]=[CH][C@@H]1[CH2][CH2][C]2([CH2][CH2]2)[O]1
286	[O]=[CH][C@H]1[CH2][CH2][C]2([CH2][CH2]2)[O]1
287	[CH3][O][C](=[O])[C]12[CH2][CH2][CH]1[CH2]2
288	[CH3][CH2][C]1([CH3])[CH]=[CH][C](=[O])[O]1
289	[O]=[CH][CH]1[CH]2[CH2][CH2][CH]([OH])[CH]12
290	[CH]1=[CH][CH]([CH2][CH]2[CH2][O]2)[O][CH2]1
291	[OH][CH]1[CH]=[CH][C]2([CH2][CH2]1)[CH2][O]2
292	[CH3][CH2][c]1[cH][cH][o][c]1[CH2][OH]
293	[CH3][C]1=[CH][C](=[O])[CH]([OH])[CH2][CH2]1
294	[CH3][C]1=[CH][C](=[O])[C@@H]([OH])[CH2][CH2]1
295	[CH3][C]1=[CH][C](=[O])[C@H]([OH])[CH2][CH2]1
296	[CH3][CH]1[CH]2[CH2][CH2][CH]1[C](=[O])[O]2
297	[CH3][CH]1[CH2][CH]2[CH2][CH]1[C](=[O])[O]2
298	[CH3][CH]1[CH2][C@H]2[CH2][C@@H]1[C](=[O])[O]2
299	[CH3][C@H]1[CH2][C@H]2[CH2][CH]1[C](=[O])[O]2
300	[O]=[C]1[O][CH2][CH]2[CH2][CH2][CH]1[CH2]2
301	[O]=[C]1[O][CH2][C@H]2[CH2][CH2][C@@H]1[CH2]2
302	[O]=[C]1[O][CH2][C@@H]2[CH2][CH2][C@H]1[CH2]2
303	[CH3][C]1([CH3])[CH]=[CH][C](=[O])[CH2][O]1
304	[CH3][C]1=[CH][CH]([CH3])[C](=[O])[O][CH2]1
305	[CH3][C]1=[CH][C@H]([CH3])[C](=[O])[O][CH2]1
306	[O]=[C]1[CH2][CH]=[CH][CH]([CH2][OH])[CH2]1
