	cids	SMILES	titles	descriptions	description_names
0	20750601	CC(=O)C1CC2C(C1)O2	1-(6-Oxabicyclo[3.1.0]hexan-3-yl)ethanone		
1	22121382	C1C(CC2C1CC2=O)O	3-Hydroxybicyclo[3.2.0]heptan-6-one		
2	11446324	C1[C@@H](C[C@H]2[C@@H]1CC2=O)O	(1S,3S,5S)-3-hydroxybicyclo[3.2.0]heptan-6-one		
3	21631920	C1[C@H](C[C@@H]2[C@H]1CC2=O)O	(1R,3R,5R)-3-hydroxybicyclo[3.2.0]heptan-6-one		
4	144417214	CCOC1=C(OC=C1)C	3-Ethoxy-2-methylfuran		
5	57550408	CC(=O)C1(CC1)CC=O	2-(1-Acetylcyclopropyl)acetaldehyde		
6	10011910	COC1CCC(=C1)C=O	3-Methoxycyclopentene-1-carbaldehyde		
7	116826535	C1CC(C1)C(=O)C2CO2	Cyclobutyl(oxiran-2-yl)methanone		
8	114535	CCC1CCC(=O)C1=O	3-Ethylcyclopentane-1,2-dione		
9	51374344	CC[C@H]1CCC(=O)C1=O	(3S)-3-ethylcyclopentane-1,2-dione		
10	130410564	CC12CCC(C1)C(=O)O2	1-Methyl-2-oxabicyclo[2.2.1]heptan-3-one		
11	15122666	C1CC(C(C1)C=O)C=O	Cyclopentane-1,2-dicarbaldehyde		
12	130826816	C1C[C@@H]([C@H](C1)C=O)C=O	(1S,2S)-cyclopentane-1,2-dicarbaldehyde		
13	122226831	CC12CC3C(O3)CC1O2	1-Methyl-4,8-dioxatricyclo[5.1.0.03,5]octane		
14	86080684	CC1CC(C(=O)C=C1)O	6-Hydroxy-4-methylcyclohex-2-en-1-one		
15	61634	CC1CC(C(=O)C1=O)C	3,5-Dimethyl-1,2-cyclopentanedione		
16	6997359	C[C@@H]1C[C@@H](C(=O)C1=O)C	3,5-Dimethyl-2-hydroxy-2-cyclopenten-1-one		
17	6997360	C[C@@H]1C[C@H](C(=O)C1=O)C	(3R,5R)-3,5-dimethylcyclopentane-1,2-dione		
18	6997361	C[C@H]1C[C@@H](C(=O)C1=O)C	(3S,5S)-3,5-dimethylcyclopentane-1,2-dione		
19	101003540	C1C/C=C\CC(=O)OC1	(5Z)-2,3,4,7-tetrahydrooxocin-8-one		
20	57090042	CC(=O)CC1(CC1)C=O	1-(2-Oxopropyl)cyclopropane-1-carbaldehyde		
21	70386011	C1COC2CC=CC1O2	2,9-Dioxabicyclo[3.3.1]non-6-ene		
22	124188859	CC12CC(C1)(OC2=O)C	1,4-Dimethyl-2-oxabicyclo[2.1.1]hexan-3-one		
23	130030480	COCC1CC=CC1=O	5-(Methoxymethyl)cyclopent-2-en-1-one		
24	12771785	CC12C(O1)CCCC2=O	1-Methyl-7-oxabicyclo[4.1.0]heptan-2-one		
25	93515720	C[C@@]12[C@@H](O1)CCCC2=O	(1S,6S)-1-methyl-7-oxabicyclo[4.1.0]heptan-2-one		
26	93515721	C[C@]12[C@H](O1)CCCC2=O	(1R,6R)-1-methyl-7-oxabicyclo[4.1.0]heptan-2-one		
27	83854329	CC1C(C=CC1=O)OC	4-Methoxy-5-methylcyclopent-2-en-1-one		
28	12224253	CCCC1=CC(=O)OC1	4-propyl-5H-furan-2-one		
29	130037185	CC12CCC(=O)CC1O2	6-Methyl-7-oxabicyclo[4.1.0]heptan-3-one		
30	131040882	C[C@]12CCC(=O)C[C@H]1O2	(1R,6S)-6-methyl-7-oxabicyclo[4.1.0]heptan-3-one		
31	53781655	C1CC1CC(=O)CC=O	4-Cyclopropyl-3-oxobutanal		
32	135139696	CC[C@]1(C=CCC1=O)O	(2R)-2-ethyl-2-hydroxycyclopent-3-en-1-one		
33	54302898	CCC1=C(C=C(O1)C)O	2-Ethyl-5-methylfuran-3-ol		
34	162523755	C1CC(=O)C2(CC2)OC1	4-Oxaspiro[2.5]octan-8-one		
35	68176732	C1CC2(CC1=O)COC2	2-Oxaspiro[3.4]octan-6-one		
36	14685203	CC1(CCCC1=O)C=O	1-Methyl-2-oxocyclopentane-1-carbaldehyde		
37	101253726	C[C@]1(CCCC1=O)C=O	(1S)-1-methyl-2-oxocyclopentane-1-carbaldehyde		
38	130703400	C[C@@]1(CCCC1=O)C=O	(1R)-1-methyl-2-oxocyclopentane-1-carbaldehyde		
39	57044362	CC1(C(=O)C=CCO1)C	6,6-dimethyl-2H-pyran-5-one		
40	12803676	C1CC2CC1CC(=O)O2	2-Oxabicyclo[3.2.1]octan-3-one		
41	10866334	C1C[C@@H]2C[C@H]1CC(=O)O2	(1R,5S)-2-oxabicyclo[3.2.1]octan-3-one		
42	10953504	C1C[C@H]2C[C@@H]1CC(=O)O2	(1S,5R)-2-Oxabicyclo[3.2.1]octan-3-one		
43	51006445	C1C[C@H]2C[C@H]1CC(=O)O2	(1S,5S)-2-oxabicyclo[3.2.1]octan-3-one		
44	13869859	C1C2CC(C1C3C2O3)O	3-Oxatricyclo[3.2.1.02,4]octan-6-ol		
45	13869861	C1[C@H]2C[C@H]([C@@H]1[C@@H]3[C@H]2O3)O	CID 13869861		
46	101709001	C1[C@@H]2C[C@@H]([C@H]1[C@H]3[C@@H]2O3)O	(1R,2R,4S,5S,6S)-3-oxatricyclo[3.2.1.02,4]octan-6-ol		
47	101801264	C1[C@H]2C[C@@H]([C@@H]1C3C2O3)O	(1S,5R,6S)-3-oxatricyclo[3.2.1.02,4]octan-6-ol		
48	102508054	C1[C@H]2C[C@@H]([C@@H]1[C@@H]3[C@H]2O3)O	(1S,2S,4R,5R,6S)-3-oxatricyclo[3.2.1.02,4]octan-6-ol		
49	130875402	C1[C@H]2C[C@@H]([C@@H]1[C@H]3[C@@H]2O3)O	(1S,2R,4S,5R,6S)-3-oxatricyclo[3.2.1.02,4]octan-6-ol		
50	163931518	C1[C@@H]2C(CC1C3C2O3)O	(5R)-3-oxatricyclo[3.2.1.02,4]octan-6-ol		
51	13699645	CC1=CC(=O)CC1CO	3-Methyl-4-methylol-cyclopent-2-en-1-one		
52	642551	CC1=CC(=O)C[C@H]1CO	(4R)-4-(hydroxymethyl)-3-methylcyclopent-2-en-1-one		
53	86256609	C1C2COCC2C1C=O	3-Oxabicyclo[3.2.0]heptane-6-carbaldehyde		
54	122163505	C1CC1C2CC(=O)CO2	5-Cyclopropyloxolan-3-one		
55	125424297	C1CC1[C@H]2CC(=O)CO2	(5R)-5-cyclopropyloxolan-3-one		
56	125424298	C1CC1[C@@H]2CC(=O)CO2	(5S)-5-cyclopropyloxolan-3-one		
57	102033069	CC1C=CCCC(=O)O1	2-methyl-5,6-dihydro-2H-oxepin-7-one		
58	91093432	CC(CO)C1=COC=C1	2-(Furan-3-yl)propan-1-ol		
59	101419671	C[C@@H](CO)C1=COC=C1	(2R)-2-(furan-3-yl)propan-1-ol		
60	21604852	CC(=O)OC12CC(C1)C2	1-Bicyclo[1.1.1]pentanyl acetate		
61	101489158	CC12CC(=O)CC1(O2)C	1,5-Dimethyl-6-oxabicyclo[3.1.0]hexan-3-one		
62	12836333	C[C@@H]1[C@@H]2[C@@H](O2)CCC1=O	(1R,2R,6S)-2-methyl-7-oxabicyclo[4.1.0]heptan-3-one		
63	134987632	C[C@H]1[C@H]2[C@H](O2)CCC1=O	(1S,2S,6R)-2-methyl-7-oxabicyclo[4.1.0]heptan-3-one		
64	57519234	CC1CC(=O)C=CC1O	4-Hydroxy-5-methylcyclohex-2-en-1-one		
65	11693909	C[C@@H]1CC(=O)C=C[C@H]1O	(4S,5R)-4-hydroxy-5-methylcyclohex-2-en-1-one		
66	70676007	C[C@@H]1CC(=O)C=C[C@@H]1O	(4R,5R)-4-hydroxy-5-methylcyclohex-2-en-1-one		
67	134973013	CC1CC(=O)C=C[C@H]1O	(4S)-4-hydroxy-5-methylcyclohex-2-en-1-one		
68	10855456	CC(CC1=CC=CO1)O	alpha-Methyl-2-furanethanol		
69	58852333	C[C@H](CC1=CC=CO1)O	(1R)-1-methyl-2-furan-2-ylethanol		
70	86307181	C[C@@H](CC1=CC=CO1)O	(S)-1-(Furan-2-yl)propan-2-ol		
71	24973324	CC1CC(=CC(=O)O1)C	4,6-dimethyl-5,6-dihydro-2H-pyran-2-one		
72	11469078	C[C@H]1CC(=CC(=O)O1)C	(2S)-2,4-dimethyl-2,3-dihydropyran-6-one		
73	100944245	C[C@@H]1CC(=CC(=O)O1)C	(2R)-2,4-dimethyl-2,3-dihydropyran-6-one		
74	11040703	C1CC(=O)C2(C1C2)CO	1-(Hydroxymethyl)bicyclo[3.1.0]hexan-2-one		
75	129163557	C1CC(=O)[C@]2([C@@H]1C2)CO	(1R,5S)-1-(hydroxymethyl)bicyclo[3.1.0]hexan-2-one		
76	153470754	C/1CC(=O)OCC/C=C1	(4Z)-2,3,6,7-tetrahydrooxocin-8-one		
77	155647798	C\1CC(=O)OCC/C=C1	(4E)-2,3,6,7-tetrahydrooxocin-8-one		
78	145368519	CCC12CC1COC2=O	1-Ethyl-3-oxabicyclo[3.1.0]hexan-2-one		
79	153767503	C1C=CC2CC1OCO2	2,4-Dioxabicyclo[3.3.1]non-6-ene		
80	100955635	CC1=C[C@H]2[C@H](C[C@@H]1O2)O	(1S,2S,4S)-5-methyl-7-oxabicyclo[2.2.1]hept-5-en-2-ol		
81	100955636	CC1=C[C@@H]2[C@@H](C[C@H]1O2)O	(1R,2R,4R)-5-methyl-7-oxabicyclo[2.2.1]hept-5-en-2-ol		
82	90723577	CC1CC2C(C2O)C1=O	6-Hydroxy-3-methylbicyclo[3.1.0]hexan-2-one		
83	11228798	C1CC=C(C(C1)O)C=O	6-Hydroxycyclohexene-1-carbaldehyde		
84	11686908	C1CC=C([C@H](C1)O)C=O	(6S)-6-hydroxycyclohexene-1-carbaldehyde		
85	101377315	C1CC=C([C@@H](C1)O)C=O	(6R)-6-hydroxycyclohexene-1-carbaldehyde		
86	56606735	CCC1=CC(=C(O1)C)O	5-Ethyl-2-methylfuran-3-ol		
87	14530765	CC12CCC(C1)OC2=O	4-Methyl-2-oxabicyclo[2.2.1]heptan-3-one		
88	82277833	C1COCC2(C1=O)CC2	5-Oxaspiro[2.5]octan-8-one		
89	143240496	CC1=COC=C1COC	3-(Methoxymethyl)-4-methylfuran		
90	12738746	CC1=C(C(=O)CC1O)C	4-Hydroxy-2,3-dimethylcyclopent-2-en-1-one		
91	12738747	CC1=C(C(=O)C[C@@H]1O)C	(4S)-4-hydroxy-2,3-dimethylcyclopent-2-en-1-one		
92	71403633	CC1=C(C(=O)C[C@H]1O)C	(4R)-4-Hydroxy-2,3-dimethylcyclopent-2-en-1-one		
93	69967329	CC1=C(OC=C1)CCO	2-Furanethanol, 3-methyl-		
94	130457477	CC1(C(=O)C2(O1)CC2)C	5,5-Dimethyl-4-oxaspiro[2.3]hexan-6-one		
95	54211225	CCC1=COC=C1OC	3-Ethyl-4-methoxyfuran		
96	101801265	C1[C@H]2C[C@H]3[C@@H]([C@@H]1[C@@H]2O3)O	(1S,2R,3R,5S,6R)-7-oxatricyclo[3.2.1.03,6]octan-2-ol		
97	93769	CCCC1C=CC(=O)O1	5-Propylfuran-2(5H)-one		
98	92282331	CCC[C@@H]1C=CC(=O)O1	(2R)-2-propyl-2H-furan-5-one		
99	92282518	CCC[C@H]1C=CC(=O)O1	(2S)-2-propyl-2H-furan-5-one		
100	105427271	C1CC1C2CC(=O)OC2	4-Cyclopropyloxolan-2-one		
101	23270359	COC(=O)C1C2CC1C2	Methyl bicyclo[1.1.1]pentane-2-carboxylate		
102	102380581	C1CO[C@@H]2[C@H]1OCC=C2	(3aS,7aS)-3,3a,5,7a-tetrahydro-2H-furo[3,2-b]pyran		
103	130027981	CC12CC(C(=O)C1)OC2	4-Methyl-2-oxabicyclo[2.2.1]heptan-6-one		
104	22977901	CC(=O)C1(CCC1)C=O	1-Acetylcyclobutane-1-carbaldehyde		
105	544614	CC1C(C(=O)CC1=O)C	4,5-Dimethyl-1,3-cyclopentanedione		
106	85551307	C1CC2C(C1CC2=O)O	7-Hydroxybicyclo[2.2.1]heptan-2-one		
107	130835392	C1C[C@H]2[C@H]([C@@H]1CC2=O)O	(1S,4S,7S)-7-hydroxybicyclo[2.2.1]heptan-2-one		
108	131057167	C1C[C@H]2[C@@H]([C@@H]1CC2=O)O	(1S,4S,7R)-7-hydroxybicyclo[2.2.1]heptan-2-one		
109	130762536	C1C[C@H]2C(C=C[C@@H]1O2)O	(1S,5R)-8-oxabicyclo[3.2.1]oct-3-en-2-ol		
110	3321360	CC1CCCC(=O)C1=O	3-Methylcyclohexane-1,2-dione		
111	7019252	C[C@H]1CCCC(=O)C1=O	(3S)-3-methylcyclohexane-1,2-dione		
112	7567908	C[C@@H]1CCCC(=O)C1=O	(3R)-3-methylcyclohexane-1,2-dione		
113	13073151	C1C=CC(=O)CC1CO	5-Hydroxymethyl-2-cyclohexenone		
114	10374469	C1C=CC(=O)C[C@@H]1CO	(R)-5-hydroxymethylcyclohex-2-en-1-one		
115	10374470	C1C=CC(=O)C[C@H]1CO	(5S)-5-(hydroxymethyl)cyclohex-2-en-1-one		
116	12662993	C1C=CCC2(C1O2)CO	(7-Oxabicyclo[4.1.0]hept-3-en-1-yl)methanol		
117	10920516	CC1=C(C(=O)OCC1)C	3,4-dimethyl-5,6-dihydro-2H-pyran-2-one		
118	11423594	CC1=C(COC(=O)C1)C	2H-Pyran-2-one, 3,6-dihydro-4,5-dimethyl-		
119	12648864	C1CC2COC(=O)C2C1	Hexahydro-1H-cyclopenta[c]furan-1-one		
120	11007905	C1C[C@H]2COC(=O)[C@H]2C1	(1S,5R)-3-Oxabicyclo[3.3.0]octane-2-one		
121	12648865	C1C[C@@H]2COC(=O)[C@@H]2C1	cis-Hexahydro-cyclopenta[c]furan-1-one		
122	12648866	C1C[C@@H]2COC(=O)C2C1	(6aS)-1,3a,4,5,6,6a-hexahydrocyclopenta[c]furan-3-one		
123	12648867	C1C[C@H]2COC(=O)[C@@H]2C1	(3aR,6aR)-hexahydro-1H-cyclopenta[c]furan-1-one		
124	124415459	C1C[C@@H]2COC(=O)[C@H]2C1	(3aS,6aS)-1,3a,4,5,6,6a-hexahydrocyclopenta[c]furan-3-one		
125	91126189	CC1=CC(CC1=O)CO	4-(Hydroxymethyl)-2-methylcyclopent-2-en-1-one		
126	164005857	CCC1[C@H]2[C@@H]1OC(=O)C2	(1R,5S)-6-ethyl-2-oxabicyclo[3.1.0]hexan-3-one		
127	544568	CCC1CC(=O)CC1=O	4-Ethyl-1,3-cyclopentanedione		
128	84647890	C1C2C(C2CC=O)CO1	2-(3-Oxabicyclo[3.1.0]hexan-6-yl)acetaldehyde		
129	125462128	CC(=O)C12CC(C1)(C2)O	1-{3-Hydroxybicyclo[1.1.1]pentan-1-yl}ethan-1-one		
130	14381125	CC1=C(OC(=C1)CO)C	(4,5-Dimethylfuran-2-yl)methyl alcohol		
131	130031145	CC12CCC(=O)C1(O2)C	1,5-Dimethyl-6-oxabicyclo[3.1.0]hexan-2-one		
132	13926219	CC(C1=CCCC1=O)O	2-(1-Hydroxyethyl)cyclopent-2-en-1-one		
133	53888009	CC1=C[C@H]([C@@H]2[C@H](C1)O2)O	(1R,2R,6S)-4-methyl-7-oxabicyclo[4.1.0]hept-3-en-2-ol		
134	163621499	CC1=C[C@@H](C2C(C1)O2)O	(2S)-4-methyl-7-oxabicyclo[4.1.0]hept-3-en-2-ol		
135	14408046	CC1CC=CCC(=O)O1	2-methyl-3,6-dihydro-2H-oxepin-7-one		
136	22676875	CCOC1C=CCC1=O	2-Ethoxycyclopent-3-en-1-one		
137	54013639	C1CC=C(C1)COC=O	Cyclopenten-1-ylmethyl formate		
138	21853949	CC1=CC(=O)CC1(C)O	4-Hydroxy-3,4-dimethylcyclopent-2-en-1-one		
139	101489156	CC1=CC(=O)C[C@@]1(C)O	(4R)-4-hydroxy-3,4-dimethylcyclopent-2-en-1-one		
140	130815769	CC1=CC(=O)C[C@]1(C)O	(4S)-4-hydroxy-3,4-dimethylcyclopent-2-en-1-one		
141	12732766	C1CC2CC1C(C2=O)O	3-Hydroxybicyclo[2.2.1]heptan-2-one		
142	10887906	C1C[C@@H]2C[C@H]1[C@H](C2=O)O	(1R,3R,4S)-3-hydroxybicyclo[2.2.1]heptan-2-one		
143	101920745	C1C[C@@H]2C[C@@H]1[C@@H](C2=O)O	(1R,3S,4R)-3-hydroxybicyclo[2.2.1]heptan-2-one		
144	101920746	C1C[C@H]2C[C@H]1[C@H](C2=O)O	(1S,3R,4S)-3-hydroxybicyclo[2.2.1]heptan-2-one		
145	131019665	C1CC2C[C@H]1C(=O)[C@H]2O	(1S,3S)-3-hydroxybicyclo[2.2.1]heptan-2-one		
146	131020785	C1CC2C[C@H]1[C@H](C2=O)O	(3R,4S)-3-hydroxybicyclo[2.2.1]heptan-2-one		
147	70380446	COC12CCC(O1)C=C2	1-Methoxy-7-oxabicyclo[2.2.1]hept-2-ene		
148	10034638	C[C@@]1(C[C@H]2C=C[C@@H]1O2)O	(1S,2S,4S)-2-methyl-7-oxabicyclo[2.2.1]hept-5-en-2-ol		
149	21434816	C1C=CC(C1O)CC=O	2-(5-Hydroxycyclopent-2-en-1-yl)acetaldehyde		
150	54392159	C1C=C[C@H]([C@H]1O)CC=O	2-[(1R,5S)-5-hydroxycyclopent-2-en-1-yl]acetaldehyde		
151	88824967	C1C=C[C@@H]([C@@H]1O)CC=O	2-[(1S,5R)-5-hydroxycyclopent-2-en-1-yl]acetaldehyde		
152	118167261	C1CC(CC=C1)(C=O)O	1-Hydroxycyclohex-3-ene-1-carbaldehyde		
153	12610605	CC(C)C1=CCOC1=O	Isopropylbutenolide		
154	86178457	CC(=O)C(=O)C1CCC1	1-Cyclobutylpropane-1,2-dione		
155	130909528	CC[C@]12CCC(=O)[C@H]1O2	(1S,5S)-5-ethyl-6-oxabicyclo[3.1.0]hexan-2-one		
156	13244266	C1CC(=O)CCC(=O)C1	1,4-Cycloheptanedione		
157	144538207	C1C[C@@H](C(C=C1)C=O)O	(6S)-6-hydroxycyclohex-2-ene-1-carbaldehyde		
158	142999153	C1CC12CCOC(=O)C2	6-Oxaspiro[2.5]octan-7-one		
159	115011125	C1CC(C1)C(=O)CC=O	3-Cyclobutyl-3-oxopropanal		
160	14690108	C1[C@@H](C2CC1C2)OC=O	[(2S)-2-bicyclo[2.1.1]hexanyl] formate		
161	13182325	C1C(CC2C=CC1O2)O	8-Oxabicyclo[3.2.1]oct-6-en-3-ol		
162	10582787	C1[C@@H]2C=C[C@@H](O2)CC1O	(3-exo)-8-Oxabicyclo[3.2.1]oct-6-en-3-ol		
163	13182327	C1[C@H]2C=C[C@@H](O2)CC1O	(1S,5S)-8-oxabicyclo[3.2.1]oct-6-en-3-ol		
164	15498801	C[C@@H]1CC[C@@H]2[C@H]1C(=O)O2	(1S,2R,5R)-2-methyl-6-oxabicyclo[3.2.0]heptan-7-one		
165	58488561	C1C2CC(C1C(=O)C2)O	6-Hydroxynorcamphor		
166	11309513	C1[C@@H]2CC([C@H]1C(=O)C2)O	(1S,4R)-6-hydroxybicyclo[2.2.1]heptan-2-one		
167	101920743	C1[C@H]2C[C@H]([C@@H]1C(=O)C2)O	(1R,4S,6R)-6-hydroxybicyclo[2.2.1]heptan-2-one		
168	101920744	C1[C@@H]2C[C@@H]([C@H]1C(=O)C2)O	(1S,4R,6S)-6-hydroxybicyclo[2.2.1]heptan-2-one		
169	131019890	C1[C@@H]2C[C@@H]([C@@H]1C(=O)C2)O	(1R,4R,6S)-6-hydroxybicyclo[2.2.1]heptan-2-one		
170	154254748	CCC1=CC(=CO1)OC	2-Ethyl-4-methoxyfuran		
171	15305589	C1CC(=O)C2(C1O)CC2	7-Hydroxyspiro[2.4]heptan-4-one		
172	15305590	C1CC(=O)C2([C@H]1O)CC2	(4S)-4-hydroxyspiro[2.4]heptan-7-one		
173	85855310	CCOC1=CC(=CO1)C	2-Ethoxy-4-methylfuran		
174	130031064	C1CC2CC1C(=O)CO2	2-Oxabicyclo[3.2.1]octan-4-one		
175	121207483	C1C(CC12CC(=O)C2)O	6-Hydroxyspiro[3.3]heptan-2-one		
176	154733284	C1CC(=O)C2C1COC2	Hexahydro-cyclopenta[c]furan-4-one		
177	155920815	C1CC(=O)[C@H]2[C@@H]1COC2	cis-Hexahydro-cyclopenta[c]furan-4-one		
178	53730616	C1CC(=CC2C1O2)CO	7-Oxabicyclo[4.1.0]hept-2-en-3-ylmethanol		
179	21681718	C1CC2CC(=O)C2OC1	2-Oxabicyclo[4.2.0]octan-8-one		
180	12858598	CC1=COC(=C1CO)C	(2,4-Dimethylfuran-3-yl)methanol		
181	86128862	C1CC2C(O2)CC(=O)C1	8-Oxabicyclo[5.1.0]octan-3-one		
182	11062390	CC1=CC=C(O1)CCO	2-Furanethanol, 5-methyl-		
183	19779552	C1C=C(CC2C1O2)CO	7-Oxabicyclo[4.1.0]hept-3-en-3-ylmethanol		
184	89230151	C1C=CC(CC1O)C=O	5-Hydroxycyclohex-2-ene-1-carbaldehyde		
185	53814970	CCC1=C(C=CO1)OC	2-Ethyl-3-methoxyfuran		
186	88830462	CCC12C(O1)CCC2=O	1-Ethyl-6-oxabicyclo[3.1.0]hexan-2-one		
187	126970285	CC1(CC1C(=O)C=O)C	2-(2,2-Dimethylcyclopropyl)-2-oxoacetaldehyde		
188	130067848	C1CC(=O)CC2(C1)CO2	CID 130067848		
189	76004605	CC1C(CC=CC1=O)O	5-Hydroxy-6-methylcyclohex-2-en-1-one		
190	53305517	C[C@H]1[C@H](CC=CC1=O)O	(5S,6S)-5-hydroxy-6-methylcyclohex-2-en-1-one		
191	57144733	C1CC2C(=CC1O2)CO	7-Oxabicyclo[2.2.1]hept-2-en-2-ylmethanol		
192	89126396	C1C=CCC(C1C=O)O	6-Hydroxycyclohex-3-ene-1-carbaldehyde		
193	131974430	C1C=CC[C@H]([C@H]1C=O)O	(1S,6R)-6-hydroxycyclohex-3-ene-1-carbaldehyde		
194	71419973	CC1C2CCC(C1=O)O2	3-Methyl-7-oxabicyclo[2.2.1]heptan-2-one		
195	21587118	C[C@@H]1[C@H]2CC[C@@H](C1=O)O2	(1S,3R,4R)-3-methyl-7-oxabicyclo[2.2.1]heptan-2-one		
196	126545569	C1CC2(CC2)COC1=O	5-Oxaspiro[2.5]octan-6-one		
197	68201218	C1CCOC(=O)C=CC1	2,3,4,5-Tetrahydrooxocin-8-one		
198	14472354	C1CCOC(=O)/C=C\C1	Heptaene lactone		
199	154096110	CCOC1=C(C=CO1)C	2-Ethoxy-3-methylfuran		
200	23270357	CC(=O)OC1C2CC1C2	2-Bicyclo[1.1.1]pentanyl acetate		
201	20692457	CC(=O)C1CC=CCO1	1-(3,6-dihydro-2H-pyran-2-yl)ethanone		
202	59970369	CC(=O)[C@@H]1CC=CCO1	1-[(2S)-3,6-dihydro-2H-pyran-2-yl]ethanone		
203	15422148	CC1=CC(CCC1=O)O	4-Hydroxy-2-methylcyclohex-2-en-1-one		
204	101946038	CC1=C[C@@H](CCC1=O)O	(4R)-4-hydroxy-2-methylcyclohex-2-en-1-one		
205	131106116	CC1=C[C@H](CCC1=O)O	(4S)-4-hydroxy-2-methylcyclohex-2-en-1-one		
206	11116066	CCC1=CCCOC1=O	2H-Pyran-2-one, 3-ethyl-5,6-dihydro-		
207	86118523	C1CC(C=CC1C=O)O	4-Hydroxycyclohex-2-ene-1-carbaldehyde		
208	22965746	CC(=O)C1C2C1COC2	1-(3-Oxabicyclo[3.1.0]hexan-6-yl)ethanone		
209	89694687	CC(=O)C1[C@H]2[C@@H]1COC2	1-[(1R,5S,6R)-3-oxabicyclo[3.1.0]hexan-6-yl]ethan-1-one		
210	154529920	CC(=O)C1[C@@H]2C1COC2	1-[(5S)-3-oxabicyclo[3.1.0]hexan-6-yl]ethanone		
211	22916282	CC1C=CC(=O)C(O1)C	2,6-dimethyl-2H-pyran-5-one		
212	10749188	C[C@@H]1C=CC(=O)[C@@H](O1)C	(2R,6S)-2,6-dimethyl-2H-pyran-5-one		
213	10772979	C[C@H]1C=CC(=O)[C@@H](O1)C	(2S,6S)-2,6-dimethyl-2H-pyran-5-one		
214	10772980	C[C@@H]1C=CC(=O)[C@H](O1)C	(2R,6R)-2,6-dimethyl-2H-pyran-5-one		
215	102482158	C[C@H]1C(=O)C=CC(O1)C	(6S)-2,6-dimethyl-2H-pyran-5-one		
216	12418785	CC1=CCC(C1=O)(C)O	5-Hydroxy-2,5-dimethylcyclopent-2-en-1-one		
217	90817297	C1CC2C(C1)(O2)C3CO3	1-(Oxiran-2-yl)-6-oxabicyclo[3.1.0]hexane		
218	11094617	CC1CCC(=O)CC1=O	4-Methylcyclohexane-1,3-dione		
219	98616667	C[C@@H]1CCC(=O)CC1=O	(4R)-4-methylcyclohexane-1,3-dione		
220	98616668	C[C@H]1CCC(=O)CC1=O	(4S)-4-methylcyclohexane-1,3-dione		
221	71410563	C1CC2(CCC2=O)OC1	5-Oxaspiro[3.4]octan-1-one		
222	101383685	C1C[C@]2(CCC2=O)OC1	(4R)-5-oxaspiro[3.4]octan-3-one		
223	167363302	CC12CC(C1)(C2)OC=O	(3-Methyl-1-bicyclo[1.1.1]pentanyl) formate		
224	130002916	C1C2CC3(C1C3O2)CO	3-Oxatricyclo[2.2.1.02,6]heptan-1-ylmethanol		
225	11116064	CC(CO)C1=CC=CO1	2-(Furan-2-yl)propan-1-ol		
226	642104	C[C@@H](CO)C1=CC=CO1	(2S)-2-(furan-2-yl)propan-1-ol		
227	101188997	C[C@H](CO)C1=CC=CO1	(2R)-2-(furan-2-yl)propan-1-ol		
228	59103621	CCOC1CC(=O)C=C1	4-Ethoxycyclopent-2-enone		
229	13315272	C1CC2(C1)C(=O)CCO2	5-Oxaspiro[3.4]octan-8-one		
230	11018869	CC(=O)CC(=O)C1CC1	1-Cyclopropyl-1,3-butanedione		
231	14787943	C1CC(C(=O)C1)CC=O	2-(2-Oxocyclopentyl)acetaldehyde		
